Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","124","Canada","5312","Area harvested","01510","Potato","2022","2022","ha","149042","I","Imputed value",""
"QCL","Crops and livestock products","124","Canada","5312","Area harvested","01235","Pumpkin","2022","2022","ha","8272","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5312","Area harvested","01443","Rape","2022","2022","ha","8596300","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5312","Area harvested","01353.01","Raspberries","2022","2022","ha","1390","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5312","Area harvested","0116","Rye","2022","2022","ha","151900","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5312","Area harvested","01446","Safflower seed","2022","2022","ha","0","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","124","Canada","5312","Area harvested","01344.01","Sour cherries","2022","2022","ha","728","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5312","Area harvested","0141","Soya bean","2022","2022","ha","2118000","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5312","Area harvested","01215","Spinach","2022","2022","ha","714","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5312","Area harvested","01354","Strawberries","2022","2022","ha","2857","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5312","Area harvested","01801","Sugar beet","2022","2022","ha","17200","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5312","Area harvested","01445","Sunflower seed","2022","2022","ha","37500","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5312","Area harvested","01234","Tomatoes","2022","2022","ha","6155","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5312","Area harvested","01191","Triticale","2022","2022","ha","29900","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5312","Area harvested","01970","Unmanufactured tobacco","2022","2022","ha","9801","E","Estimated value",""
"QCL","Crops and livestock products","124","Canada","5312","Area harvested","01221","Watermelon","2022","2022","ha","806","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5312","Area harvested","0111","Wheat","2022","2022","ha","10081900","A","Official figure",""
"QCL","Crops and livestock products","484","Mexico","5312","Area harvested","01371","Almond","2022","2022","ha","33","E","Estimated value",""
"QCL","Crops and livestock products","484","Mexico","5312","Area harvested","01654","Anise","2022","2022","ha","8848","A","Official figure",""
"QCL","Crops and livestock products","484","Mexico","5312","Area harvested","01341","Apple","2022","2022","ha","54959","A","Official figure",""
"QCL","Crops and livestock products","484","Mexico","5312","Area harvested","01343","Apricot","2022","2022","ha","193","A","Official figure",""
"QCL","Crops and livestock products","484","Mexico","5312","Area harvested","01216","Artichoke","2022","2022","ha","257","A","Official figure",""
"QCL","Crops and livestock products","484","Mexico","5312","Area harvested","01211","Asparagus","2022","2022","ha","35555","A","Official figure",""
"QCL","Crops and livestock products","484","Mexico","5312","Area harvested","01311","Avocados","2022","2022","ha","234821","A","Official figure",""
"QCL","Crops and livestock products","484","Mexico","5312","Area harvested","01312","Bananas","2022","2022","ha","84892","A","Official figure",""
"QCL","Crops and livestock products","484","Mexico","5312","Area harvested","0115","Barley","2022","2022","ha","323159","A","Official figure",""
"QCL","Crops and livestock products","484","Mexico","5312","Area harvested","01701","Beans, dry","2022","2022","ha","1453213","A","Official figure",""
"QCL","Crops and livestock products","484","Mexico","5312","Area harvested","01355.01","Blueberries","2022","2022","ha","5887","A","Official figure",""
"QCL","Crops and livestock products","484","Mexico","5312","Area harvested","01702","Broad beans","2022","2022","ha","23617","A","Official figure",""
"QCL","Crops and livestock products","484","Mexico","5312","Area harvested","01212","Cabbages","2022","2022","ha","7223","A","Official figure",""
"QCL","Crops and livestock products","484","Mexico","5312","Area harvested","01195","Canary seed","2022","2022","ha","3","A","Official figure",""
"QCL","Crops and livestock products","484","Mexico","5312","Area harvested","01229","Cantaloupes","2022","2022","ha","17886","A","Official figure",""
"QCL","Crops and livestock products","484","Mexico","5312","Area harvested","01251","Carrot","2022","2022","ha","11617","A","Official figure",""
"QCL","Crops and livestock products","484","Mexico","5312","Area harvested","01372","Cashew nuts","2022","2022","ha","1447","A","Official figure",""
"QCL","Crops and livestock products","484","Mexico","5312","Area harvested","01520.01","Cassava","2022","2022","ha","2074","A","Official figure",""
"QCL","Crops and livestock products","484","Mexico","5312","Area harvested","01447","Castor oil seed","2022","2022","ha","727","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5312","Area harvested","01371","Almond","2022","2022","ha","546332","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5312","Area harvested","01341","Apple","2022","2022","ha","116753","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5312","Area harvested","01343","Apricot","2022","2022","ha","2505","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5312","Area harvested","01216","Artichoke","2022","2022","ha","1821","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5312","Area harvested","01211","Asparagus","2022","2022","ha","6070","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5312","Area harvested","01311","Avocads","2022","2022","ha","20935","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5312","Area harvested","01312","Banana","2022","2022","ha","343","E","Estimated value",""
"QCL","Crops and livestock products","840","United States of America","5312","Area harvested","0115","Barley","2022","2022","ha","984610","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5312","Area harvested","01701","Beans","2022","2022","ha","491055","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5312","Area harvested","01355.01","Blueberries","2022","2022","ha","46539","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5312","Area harvested","01243","Broad bean","2022","2022","ha","16186","E","Estimated value",""
"QCL","Crops and livestock products","840","United States of America","5312","Area harvested","01192","Buckwheat","2022","2022","ha","82442","E","Estimated value",""
"QCL","Crops and livestock products","840","United States of America","5312","Area harvested","01212","Cabbages","2022","2022","ha","22703","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5312","Area harvested","01229","Cantaloupe","2022","2022","ha","18211","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5312","Area harvested","01251","Carrots","2022","2022","ha","25576","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5312","Area harvested","01447","Castor oil seeds","2022","2022","ha","0","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","840","United States of America","5312","Area harvested","01213","Cauliflowers","2022","2022","ha","55159","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5312","Area harvested","01199.90","Cereal","2022","2022","ha","0","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","840","United States of America","5312","Area harvested","01344.02","Cherries","2022","2022","ha","34196","A","Official figure",""